"","X.2","ids","X.1","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp","lon_origin","lat_origin","lon_dest","lat_dest","fastest_time_in_s","fastest_distance_in_m","quietest_time_in_s","quietest_distance_in_m"
"3319",7007,7006,7007,933294,"E02002404","E02006875",1145,0,0,6,174,17,3,96,38,10,798,3,1834.0641269123,0.2078818001,238.0246610784,228.0246610784,-1.5185093357,53.7923791487,-1.5455825172,53.7962246679,676,2616,871,2500
"2230",5028,5027,5028,926958,"E02002384","E02006875",966,0,3,14,153,14,1,69,18,13,679,2,1492.2901221211,0.2225884276,215.0204210967,202.0204210967,-1.5450850219,53.8096337814,-1.5455825172,53.7962246679,480,1703,634,2096
"3661",7699,7698,7699,935561,"E02002411","E02006875",929,0,0,8,200,4,2,103,19,27,564,2,1637.1157635801,0.2162336037,200.881017846,173.881017846,-1.5612145536,53.7847868814,-1.5455825172,53.7962246679,550,2237,745,2186
"4886",10535,10534,10535,2290148,"E02006876","E02006875",1035,0,1,11,132,6,3,97,24,10,749,2,2977.5799602216,0.1653834112,171.1718306082,161.1718306082,-1.5182092462,53.7749327017,-1.5455825172,53.7962246679,926,3771,1036,3948
"2677",5821,5820,5821,929579,"E02002392","E02006875",753,0,0,10,91,21,0,33,7,19,571,1,1375.4479593541,0.2278512224,171.5719704941,152.5719704941,-1.5609149148,53.8046175701,-1.5455825172,53.7962246679,494,1858,546,1796
"4756",10340,10339,10340,2285425,"E02006861","E02006875",1177,0,3,43,400,30,2,123,28,56,492,0,2738.7732367823,0.1734740165,204.1789174072,148.1789174072,-1.5650215028,53.8179856472,-1.5455825172,53.7962246679,679,2983,1055,3627
"2304",5133,5132,5133,927344,"E02002385","E02006875",958,0,4,121,334,19,2,118,25,52,283,0,2755.9639607613,0.1728786118,165.617710135,113.617710135,-1.5824764839,53.8079116016,-1.5455825172,53.7962246679,813,3173,885,3310
"2743",5916,5915,5916,929874,"E02002393","E02006875",569,0,2,2,205,10,0,78,12,13,245,2,1704.4445303627,0.2133413721,121.3912407115,108.3912407115,-1.523831007,53.804524144,-1.5455825172,53.7962246679,582,2478,882,2409
"1567",3960,3959,3960,923516,"E02002371","E02006875",750,0,2,10,354,15,2,187,49,22,105,4,2744.8737859426,0.1732624882,129.9468661543,107.9468661543,-1.530848943,53.8193025853,-1.5455825172,53.7962246679,878,3105,1116,3195
"2160",4931,4930,4931,926567,"E02002383","E02006875",707,0,1,44,167,22,1,58,9,27,378,0,2352.2280317031,0.1874171476,132.5039233571,105.5039233571,-1.5711081108,53.8110117037,-1.5455825172,53.7962246679,785,3325,1116,3091
